Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM.1,OppO,OppD,AdjEM.2,Year,Seed
Abilene Chr,Slnd,11-20,-23.35,94,117.3,63.2,-0.045,-2.67,104.7,107.4,13.38,2014,
Abilene Chr,Slnd,10-21,-20.63,93.2,113.8,63.8,-0.003,-5.96,102,108,-1.93,2015,
Abilene Chr,Slnd,13-18,-15.24,97.1,112.3,67.8,0.025,-7.76,101.4,109.2,-0.96,2016,
Abilene Chr,Slnd,13-16,-11.86,97,108.8,65.8,0.049,-5.96,101.7,107.6,1.15,2017,
Abilene Chr,Slnd,16-16,-8.66,98.2,106.8,68.6,0.014,-6.52,101.3,107.8,-3.16,2018,
Abilene Chr,Slnd,27-7,1.35,103.4,102,66.1,0.123,-8.67,100,108.7,-4.75,2019,15
Abilene Chr,Slnd,20-11,-1.14,99.1,100.2,68.4,-0.023,-7.05,99.6,106.6,5.58,2020,
Abilene Chr,Slnd,24-5,10.11,101.7,91.6,69.3,0.009,-5.43,99.4,104.8,4.93,2021,14
Abilene Chr,WAC,25-11,3.38,104.1,100.7,70.3,0.04,-2.21,100.6,102.8,-2.82,2022,
Abilene Chr,WAC,13-17,-1.47,105.7,107.1,69,-0.05,2.14,105.2,103,-0.34,2023,
Abilene Chr,WAC,15-17,-4.19,101.5,105.7,68.4,0.04,-0.12,104.6,104.7,0.52,2024,
Air Force,MWC,12-16,1.27,105.2,104,52.9,-0.074,1.99,104.1,102.1,-6.08,2003,
Air Force,MWC,22-7,15.42,111.4,96,51.9,0.025,0.58,103.3,102.8,-10.49,2004,11
Air Force,MWC,18-12,13.4,112.2,98.9,54.3,-0.084,2.63,104.4,101.8,-1.5,2005,
Air Force,MWC,24-7,14.87,113.2,98.3,54.7,-0.001,0.57,102.8,102.2,-6.63,2006,13
Air Force,MWC,26-9,20.2,116.5,96.3,57.5,-0.021,3.24,106.5,103.2,-1.91,2007,1
Air Force,MWC,16-14,1.18,100.9,99.7,56.3,-0.007,0.17,102.8,102.6,-10.09,2008,
Air Force,MWC,10-21,-5.7,98.6,104.3,57.8,-0.09,2.3,104.9,102.6,-12.06,2009,
Air Force,MWC,10-21,-8.64,96.8,105.5,57.3,-0.046,2.52,103.7,101.1,-7.67,2010,
Air Force,MWC,16-16,3.43,107.2,103.8,61.1,0.021,4.4,105.1,100.7,-5.72,2011,
Air Force,MWC,13-16,-2.2,100,102.2,61.1,-0.017,1.28,102.5,101.2,-11.06,2012,
Air Force,MWC,18-14,6.74,111.7,104.9,63.2,0.034,7.17,105.7,98.5,-4.78,2013,
Air Force,MWC,12-18,-7,99.6,106.6,63.6,0.056,0.57,105.4,104.8,-9.12,2014,
Air Force,MWC,14-17,-3.01,108.1,111.2,61.7,-0.065,-1.17,102.6,103.8,-11.14,2015,
Air Force,MWC,14-18,-6.92,99.1,106,67,0.087,0.69,104.4,103.8,-4.7,2016,
Air Force,MWC,12-21,-5.22,104.3,109.5,67.1,-0.065,0.29,104.4,104.1,-6.1,2017,
Air Force,MWC,12-19,-6.25,100.5,106.8,66,0.022,1.72,105.7,104,-5.13,2018,
Air Force,MWC,14-18,-7.06,100.6,107.7,66.6,0.03,-1.62,102.9,104.5,-4.14,2019,
Air Force,MWC,12-20,-2.49,107.8,110.3,68.8,-0.059,2.4,103.9,101.5,-3,2020,
Air Force,MWC,5-20,-16.51,94.4,110.9,62.8,0.028,4.35,104.6,100.3,-2.18,2021,
Air Force,MWC,11-18,-8.48,95.5,104,63.2,0.068,1.53,103.5,102,-8.8,2022,
Air Force,MWC,14-18,1.25,105.8,104.5,63,-0.057,1.41,106.2,104.8,-10.69,2023,
Air Force,MWC,9-22,-7.19,105.9,113.1,61.8,-0.046,3.18,108.3,105.1,-9.58,2024,
Akron,MAC,14-14,-0.92,110,110.9,67,-0.025,-1.77,102.3,104,-6.51,2003,
Akron,MAC,13-15,-0.45,106.3,106.7,64.8,-0.019,-0.49,103.4,103.9,-2.33,2004,
Akron,MAC,19-10,10.1,106,95.9,66.2,-0.014,2.55,105.7,103.2,-1.97,2005,
Akron,MAC,23-10,9.28,111.1,101.8,64.1,0.037,0.82,102.5,101.7,1.96,2006,8
Akron,MAC,26-7,16.15,115.2,99.1,63.8,-0.056,-1.65,102.8,104.5,-4.55,2007,
Akron,MAC,24-11,10.48,110.9,100.4,62.8,-0.009,0.39,103,102.6,-4.22,2008,6
Akron,MAC,23-13,6.9,102.9,96,64.8,-0.014,-1.6,100.9,102.5,-1.83,2009,13
Akron,MAC,24-11,5.2,105.3,100.1,65.1,0.047,-1.52,102.2,103.7,-4.29,2010,
Akron,MAC,23-13,4.09,103.7,99.6,65.9,0.043,-1.7,102.5,104.2,-0.43,2011,15
Akron,MAC,22-12,10.66,108.3,97.7,66.4,-0.021,2.81,104.6,101.8,3.86,2012,5
Akron,MAC,26-7,11.52,106.8,95.2,65.2,0.085,-0.35,102.4,102.7,0.28,2013,12
Akron,MAC,21-13,2.1,105,102.9,64,0.073,-0.8,103.7,104.5,0.1,2014,
Akron,MAC,21-14,5.77,105.1,99.4,63.6,-0.042,-0.98,104,105,-7.63,2015,
Akron,MAC,26-9,8.63,110.1,101.5,67.5,0.025,-1.32,104.6,105.9,-3.29,2016,6
Akron,MAC,27-9,6.1,112.6,106.4,66.3,0.084,-1.48,104.2,105.7,-5.23,2017,7
Akron,MAC,14-18,-8.08,101.8,109.9,67.8,0.068,-2.06,104.5,106.5,-5.3,2018,
Akron,MAC,17-16,5.87,100,94.1,66.2,-0.105,1.16,105.4,104.3,-5.43,2019,
Akron,MAC,15-8,7.14,108.6,101.5,68.5,-0.001,4.26,105.8,101.5,20.9,2021,
Akron,MAC,24-10,3.62,105.6,102,62.1,0.013,-5.13,100.7,105.8,-4.48,2022,13
Akron,MAC,22-11,6.16,109.5,103.4,65.2,0.002,-2.32,104.7,107,-1.1,2023,
Akron,MAC,24-10,4.94,107,102.1,65.9,-0.002,-1.86,105.4,107.3,6.45,2024,14
Akron,MAC,24-7,9.54,108.5,98.9,69.4,0.022,-1.21,101.3,102.5,-1.88,2020,
Alabama,SEC,17-12,14.6,110.3,95.7,65.3,-0.015,9.55,106.6,97.1,2.31,2003,10
Alabama,SEC,20-13,16.5,114.7,98.2,64.7,0.004,11.2,109.1,97.9,6.59,2004,8
Alabama,SEC,24-8,20.51,118.8,98.3,62.8,0.033,6.84,106.5,99.6,-1.28,2005,5
Alabama,SEC,18-13,12.48,112.8,100.3,63.4,0.005,9.21,107.7,98.4,1.6,2006,10
Alabama,SEC,20-12,13.04,114.7,101.6,65.3,0.019,8.15,108.3,100.2,-4.84,2007,5
Alabama,SEC,17-16,9.2,110.9,101.7,66.7,-0.055,5.7,107.2,101.5,-2.55,2008,
Alabama,SEC,18-14,6.63,105.9,99.3,67.5,-0.016,4.06,105.2,101.2,-7.19,2009,
Alabama,SEC,17-15,12.55,107.9,95.3,64.2,-0.099,6.75,106.5,99.8,-0.93,2010,
Alabama,SEC,25-12,13.7,104.6,90.9,63.9,-0.003,3.28,104.8,101.5,-5.62,2011,1
Alabama,SEC,21-12,16.69,106.1,89.5,61.9,-0.067,7.07,107.4,100.3,3.98,2012,9
Alabama,SEC,23-13,11.47,103.6,92.2,60.5,0.001,4.52,104.8,100.3,1.07,2013,1
Alabama,SEC,13-19,8.54,107.8,99.2,62,-0.091,9.14,110.3,101.2,5.93,2014,
Alabama,SEC,19-15,12.28,111.6,99.3,62.2,-0.032,7.98,108.2,100.3,-1.61,2015,6
Alabama,SEC,18-15,8.07,105.5,97.4,64.8,0.093,9.7,110.5,100.8,4.92,2016,5
Alabama,SEC,19-15,13.08,105.3,92.2,65.1,-0.055,7.16,108.1,100.9,-1.64,2017,3
Alabama,SEC,20-16,13.41,108.7,95.2,68.7,0.017,11.17,110.9,99.7,2.54,2018,9
Alabama,SEC,18-16,10.68,108.2,97.5,68.7,0.024,10.1,109.7,99.6,3.89,2019,1
Alabama,SEC,16-15,11.5,111,99.5,74.8,-0.076,7.83,106.9,99.1,3.96,2020,
Alabama,SEC,26-7,25.09,112.9,87.8,73.3,0.02,14.8,110.1,95.3,9.45,2021,2
Alabama,SEC,19-14,16.57,115.2,98.6,71.9,-0.022,12.58,109.4,96.9,10.15,2022,6
Alabama,SEC,31-6,27.28,115.5,88.2,72.6,0.057,11.07,110.2,99.2,10.46,2023,1
Alabama,SEC,21-11,22.48,125.6,103.1,72.6,-0.028,13.67,114.5,100.8,9.15,2024,4
Alabama A&M,SWAC,7-18,-18.25,90,108.2,72.3,-0.087,-13.35,92.9,106.3,-8.38,2003,
Alabama A&M,SWAC,13-17,-16.33,95.3,111.6,69.6,0.038,-13.43,94.2,107.6,-1.1,2004,
Alabama A&M,SWAC,15-14,-12.49,90.5,102.9,72.8,-0.023,-14.52,92.4,106.9,1.14,2005,16
Alabama A&M,SWAC,13-13,-9.65,94.5,104.1,73.4,-0.04,-11.93,94.2,106.1,16.53,2006,
Alabama A&M,SWAC,10-20,-22.96,83.9,106.9,70.8,-0.041,-13.39,94.4,107.8,2.89,2007,
Alabama A&M,SWAC,14-15,-16.72,89.4,106.2,68.2,0.012,-14.24,94.6,108.9,4.87,2008,
Alabama A&M,SWAC,8-19,-20.67,86,106.7,70.2,-0.012,-12.18,96.1,108.3,9.37,2009,
Alabama A&M,SWAC,11-16,-19.7,87.5,107.2,70.2,-0.016,-14.66,91.7,106.4,8.5,2010,
Alabama A&M,SWAC,13-15,-16.65,87,103.7,69.7,-0.001,-13.88,93.1,107,10.19,2011,
Alabama A&M,SWAC,7-21,-21.42,90,111.4,66.8,-0.063,-11.19,93.6,104.8,9.08,2012,
Alabama A&M,SWAC,11-20,-20.7,90.8,111.5,64.9,-0.004,-9.82,95.6,105.4,5.74,2013,
Alabama A&M,SWAC,14-16,-13.83,92,105.8,64.3,0.025,-10.94,98.7,109.7,4.9,2014,
Alabama A&M,SWAC,9-20,-19.09,95,114.1,63.5,-0.021,-9.62,97.8,107.4,7.67,2015,
Alabama A&M,SWAC,11-18,-13.28,100.1,113.4,65.2,-0.046,-9.75,97.7,107.4,0.76,2016,
Alabama A&M,SWAC,2-27,-30.34,91.4,121.8,64.3,-0.075,-10.15,98.7,108.9,1.08,2017,
Alabama A&M,SWAC,3-28,-28.31,86.6,114.9,65.8,-0.04,-8.1,100.2,108.3,4.85,2018,
Alabama A&M,SWAC,5-27,-22.17,87,109.1,65.7,-0.044,-8.03,99.3,107.3,0.26,2019,
Alabama A&M,SWAC,8-22,-20.22,87.9,108.2,67.7,0.014,-8.13,96.3,104.5,2.36,2020,
Alabama A&M,SWAC,6-9,-21.04,84.8,105.8,67.5,0.018,-11.82,93.6,105.4,-5.52,2021,
Alabama A&M,SWAC,12-18,-13.5,87.3,100.8,66.6,0.034,-8.49,97.8,106.3,2.23,2022,
Alabama A&M,SWAC,15-18,-11.62,96.4,108,68.1,-0.011,-8.89,98.7,107.6,1.71,2023,
Alabama A&M,SWAC,11-22,-15.45,93.6,109,70.3,0.023,-6.56,102,108.6,4.85,2024,
Alabama St,SWAC,14-15,-9.95,90.9,100.9,64.2,-0.025,-10.37,96.2,106.5,1.53,2003,
Alabama St,SWAC,16-15,-10.72,93.8,104.5,61.4,0.023,-12.06,94.6,106.7,0.53,2004,16
Alabama St,SWAC,13-14,-15.76,87.1,102.8,61.8,0.083,-12.85,93.7,106.6,1.14,2005,
Alabama St,SWAC,12-18,-13.52,94,107.5,66.1,0.046,-8.93,97.2,106.1,4.97,2006,
Alabama St,SWAC,10-20,-17.83,91.1,109,63.9,-0.009,-11.32,95.6,106.9,4.68,2007,
Alabama St,SWAC,20-11,-4.55,102,106.5,64.3,-0.034,-13.98,94.8,108.8,5.71,2008,8
Alabama St,SWAC,22-10,-2.97,100.7,103.6,63.6,0.025,-11.71,95.4,107.2,9.21,2009,16
Alabama St,SWAC,16-15,-12.63,93.5,106.2,65.2,0.022,-11.86,93.3,105.2,8.16,2010,
Alabama St,SWAC,17-18,-13.19,92.8,106,63.6,0.032,-11.26,94.9,106.1,6.29,2011,16
Alabama St,SWAC,12-19,-16.87,87.8,104.7,63.5,0.026,-9.96,95.4,105.4,9.52,2012,
Alabama St,SWAC,10-22,-19.71,92.3,112,64.8,0.006,-9.61,95.4,105.1,3.16,2013,
Alabama St,SWAC,19-13,-13.22,97.3,110.5,65.9,0.096,-12.01,97.5,109.5,-4.44,2014,
Alabama St,SWAC,19-10,-8.31,97.8,106.1,67.5,0.03,-15.38,94.7,110.1,-2.6,2015,
Alabama St,SWAC,14-17,-11.59,99.1,110.7,69,0.029,-7.89,99.3,107.2,4.32,2016,
Alabama St,SWAC,8-23,-21.65,91.1,112.8,68.4,-0.007,-9.97,99,109,2.65,2017,
Alabama St,SWAC,8-23,-19.86,95.8,115.7,68.8,-0.018,-9.14,99.2,108.4,4.68,2018,
Alabama St,SWAC,12-19,-15.77,95.2,110.9,67.2,0.024,-6.59,99.9,106.5,12.25,2019,
Alabama St,SWAC,8-24,-17.19,86.2,103.4,69.7,-0.022,-5.47,98.7,104.2,10.67,2020,
Alabama St,SWAC,4-14,-25.94,84.4,110.3,70.8,-0.049,-14.36,91.6,105.9,-99,2021,
Alabama St,SWAC,10-21,-13.19,97.1,110.3,69.4,-0.002,-6.05,98.3,104.4,10.52,2022,
Alabama St,SWAC,8-23,-17.86,92.9,110.8,65.9,0.005,-5.62,100.6,106.2,7.66,2023,
Alabama St,SWAC,13-19,-12.73,92.9,105.7,67.1,-0.009,-5.96,101.7,107.7,12.05,2024,
SUNY Albany,AE,7-21,-18.51,94.8,113.3,65.9,0.05,-6.11,98.6,104.7,-7.64,2003,
SUNY Albany,AE,5-23,-19.86,87.6,107.4,62.5,-0.055,-9.16,97,106.2,-9.44,2004,
SUNY Albany,AE,13-15,0.22,103.6,103.4,65.1,-0.121,-4.63,98.5,103.1,-5.52,2005,
SUNY Albany,AE,21-11,2.63,106.2,103.6,63.8,0.027,-5.65,99.6,105.3,0.12,2006,16
SUNY Albany,AE,23-10,2.25,107.4,105.2,63.7,0.109,-3.47,102.4,105.9,0.94,2007,13
SUNY Albany,AE,15-15,-1.82,103.1,104.9,63.4,-0.063,-5.85,100.2,106.1,-2.33,2008,
SUNY Albany,AE,15-16,-6.99,97.3,104.3,64.3,0.046,-4.91,100.3,105.2,-3.46,2009,
SUNY Albany,AE,7-25,-13.16,97.2,110.3,63.6,-0.073,-4.25,99.6,103.8,-0.45,2010,
SUNY Albany,AE,16-16,-6.86,101.7,108.6,59.9,0.025,-5.94,99.2,105.1,-2.14,2011,
SUNY Albany,AE,19-15,-2.8,108.8,111.6,64.7,-0.019,-8.11,97.4,105.5,-5.75,2012,
SUNY Albany,AE,24-11,1.36,102.6,101.3,61.7,0.082,-5.19,98.6,103.8,-6.61,2013,15
SUNY Albany,AE,19-15,-1.04,102.9,103.9,61.6,0.002,-5.12,101.5,106.6,0.91,2014,16
SUNY Albany,AE,24-9,3.29,107.2,103.9,60.8,0.054,-5.5,100.4,105.9,0.18,2015,14
SUNY Albany,AE,24-9,4.25,106.9,102.7,66.2,-0.03,-8.12,100.8,108.9,-4.63,2016,
SUNY Albany,AE,21-14,2.66,107.5,104.9,64.2,-0.038,-5.16,101.8,106.9,-2,2017,
SUNY Albany,AE,22-10,1.71,107.1,105.4,66.2,0.007,-6.49,101.4,107.9,-5.2,2018,
SUNY Albany,AE,12-20,-9.86,98.4,108.3,65.9,-0.066,-7.01,100.2,107.2,-5.46,2019,
SUNY Albany,AE,14-18,-9.55,94.3,103.9,68.5,0.011,-5.6,99.1,104.7,-4.51,2020,
SUNY Albany,AE,7-9,-6.91,97.3,104.2,69.6,-0.079,-4.5,98.9,103.4,-3.88,2021,
SUNY Albany,AE,13-18,-10.47,92.2,102.7,65.2,0.042,-6.07,100.2,106.3,-0.63,2022,
SUNY Albany,AE,8-23,-17.04,98.7,115.8,67.2,-0.027,-3.73,103,106.7,0.07,2023,
SUNY Albany,AE,13-19,-5.71,105.3,111,73,-0.079,-3.08,103,106.1,-3.06,2024,
Alcorn St,SWAC,14-19,-11.79,92.5,104.3,70.5,0.026,-8.22,96.7,104.9,3.49,2003,
Alcorn St,SWAC,11-18,-20.96,91.9,112.9,67.5,0.074,-11.69,94.9,106.6,-2.24,2004,
Alcorn St,SWAC,7-22,-27.05,79,106.1,68.9,0.027,-12.69,94.4,107.1,-0.69,2005,
Alcorn St,SWAC,8-20,-16.39,93,109.4,68.4,-0.004,-7.57,96.6,104.1,8.98,2006,
Alcorn St,SWAC,11-19,-21.49,91.9,113.4,69.4,0.067,-12.86,95,107.9,-1.81,2007,
Alcorn St,SWAC,7-24,-24.83,93.5,118.3,67.8,0.018,-11.56,96.2,107.7,1.39,2008,
Alcorn St,SWAC,6-25,-26.4,92.1,118.5,72.4,-0.05,-10.26,96.5,106.7,2.94,2009,
Alcorn St,SWAC,2-29,-32.65,81.3,113.9,72.1,-0.03,-9.37,95.5,104.8,5.19,2010,
Alcorn St,SWAC,4-24,-25.27,86.2,111.5,75.7,-0.019,-9.38,96.1,105.4,12.93,2011,
Alcorn St,SWAC,9-22,-20.18,88.4,108.6,67.4,-0.046,-11.22,94.2,105.4,7.42,2012,
Alcorn St,SWAC,10-24,-16.88,85.4,102.2,66.6,-0.045,-6.84,98.3,105.1,9.2,2013,
Alcorn St,SWAC,12-19,-16.47,93.4,109.8,62,-0.013,-9.32,99.5,108.9,6.45,2014,
Alcorn St,SWAC,6-26,-24.34,92.9,117.3,66.8,-0.059,-10.18,97.5,107.7,5.37,2015,
Alcorn St,SWAC,15-15,-14.55,98,112.6,65.5,0.103,-9.04,98.8,107.8,3.06,2016,
Alcorn St,SWAC,18-14,-10.5,95.5,106,67.8,0.048,-11.09,98.1,109.2,11.03,2017,
Alcorn St,SWAC,11-21,-19.43,95,114.4,68,-0.055,-9.05,99.6,108.7,9.81,2018,
Alcorn St,SWAC,10-21,-24.07,89.3,113.4,65.8,0.031,-7.71,99.1,106.8,8.36,2019,
Alcorn St,SWAC,15-15,-14.36,96.9,111.3,70.1,0.037,-8.46,95.1,103.6,9.06,2020,
Alcorn St,SWAC,6-13,-19.09,91.1,110.2,69.5,-0.026,-8.11,96.1,104.2,22.33,2021,
Alcorn St,SWAC,17-17,-8.09,97.3,105.4,67.8,0.128,-3.83,99.4,103.3,14.22,2022,
Alcorn St,SWAC,18-14,-6.48,101.6,108,67.2,0.133,-5.28,99.5,104.7,8.53,2023,
Alcorn St,SWAC,14-18,-10.61,106.2,116.8,66.4,0.054,-3.81,102.9,106.7,15,2024,
American Univ,Pat,16-14,1.95,103.6,101.6,62.9,-0.101,-5.66,98,103.6,-2.26,2003,
American Univ,Pat,18-13,-3.16,102.7,105.8,63.4,-0.006,-7.56,98.2,105.7,-1.27,2004,
American Univ,Pat,16-12,-1.95,101.8,103.7,63.9,0.041,-3.66,100,103.7,0.7,2005,
American Univ,Pat,12-17,-8.62,98.5,107.1,63.7,0.019,-4.39,99.4,103.8,0.15,2006,
American Univ,Pat,16-14,-1.52,100.3,101.8,64.1,-0.051,-6.96,98.9,105.9,-6.69,2007,
American Univ,Pat,21-12,1.67,107.9,106.3,60.4,0.045,-4.23,99.9,104.1,-2.17,2008,15
American Univ,Pat,24-8,4.7,105.3,100.6,60.7,0.093,-6.34,97.6,104,0.55,2009,14
American Univ,Pat,11-20,-13.09,94.1,107.2,62.4,0.016,-7.81,99.2,107,-6.12,2010,
American Univ,Pat,22-9,-0.64,104.1,104.7,60.3,0.128,-6.21,101,107.2,-3.55,2011,
American Univ,Pat,20-12,-0.91,101.3,102.2,61.7,0.056,-5.45,100.1,105.5,-4.69,2012,
American Univ,Pat,10-20,-10.51,98,108.5,58.5,0.004,-2.05,101.2,103.3,-2.63,2013,
American Univ,Pat,20-13,4.57,103.4,98.9,59.7,0.007,-2.59,103.6,106.2,-0.1,2014,15
American Univ,Pat,17-16,-1.77,102.5,104.2,56.8,0.015,-2.32,103.7,106,2.69,2015,
American Univ,Pat,12-19,-15.34,92.1,107.4,61.3,0.111,-4.72,102.6,107.3,0.25,2016,
American Univ,Pat,8-22,-12.94,95.2,108.1,64.3,-0.017,-4.21,101.6,105.8,-4.47,2017,
American Univ,Pat,6-24,-16.14,95.6,111.8,66.5,-0.061,-6.16,102.1,108.3,-3.16,2018,
American Univ,Pat,15-15,-3.12,102.1,105.2,66.6,-0.119,-7.64,100.5,108.1,-10.8,2019,
American Univ,Pat,16-14,-2.88,101.1,104,68.7,-0.033,-6.03,100.2,106.2,-3,2020,
American Univ,Pat,4-6,-9.74,96.5,106.2,67.4,0.065,-1.53,101,102.5,-99,2021,
American Univ,Pat,10-22,-16.2,94.4,110.6,64.9,0.003,-7.56,99.3,106.9,-3.92,2022,
American Univ,Pat,17-15,-9.02,100.8,109.8,62.4,0.049,-8.29,100.3,108.6,-8.7,2023,
American Univ,Pat,16-16,-10.25,103.6,113.8,62.7,-0.006,-9.33,99.9,109.3,-4.9,2024,
Appalachian St,SC,16-10,-0.69,103.5,104.2,76.1,0.081,-3.5,100.6,104.1,3.37,2003,
Appalachian St,SC,9-21,-5.05,95.6,100.7,69.9,-0.088,0.46,104.1,103.7,6.4,2004,
Appalachian St,SC,18-12,-1.84,102,103.8,67.1,0.007,-5.7,98.6,104.3,-1.49,2005,
Appalachian St,SC,14-16,-7.25,100.6,107.8,64.1,0.021,-4.79,101,105.8,0.12,2006,
Appalachian St,SC,25-8,10.37,111.2,100.8,66.7,0.074,0.67,104.7,104,13.51,2007,5
Appalachian St,SC,18-13,2.41,105.8,103.4,65.3,0.003,-0.75,103.6,104.4,1.15,2008,
Appalachian St,SC,13-18,-8.1,101.5,109.6,69.7,-0.005,-5.31,101.1,106.4,2.23,2009,
Appalachian St,SC,24-13,6.18,110.1,104,65.3,0.012,-1.96,101.7,103.7,2.75,2010,
Appalachian St,SC,16-15,-4.38,104.7,109,66,0.044,-2.32,103.4,105.7,5.92,2011,
Appalachian St,SC,13-18,-8.4,99.6,108,65.5,0.005,-4.14,101,105.2,4.97,2012,
Appalachian St,SC,15-16,-8.9,99.4,108.3,66.5,0.011,-7.39,100.2,107.6,-3.85,2013,
Appalachian St,SC,9-21,-18.63,92,110.7,64.7,-0.033,-7.65,102,109.7,3.4,2014,
Appalachian St,SB,12-17,-9.63,98.3,107.9,65.3,0.074,-2.64,102.5,105.1,0.27,2015,
Appalachian St,SB,9-22,-8.17,102.7,110.9,70.3,-0.015,-0.42,104,104.4,1.8,2016,
Appalachian St,SB,9-21,-9.61,99.5,109.2,70.5,-0.039,-0.76,103.9,104.7,-0.49,2017,
Appalachian St,SB,15-18,-4.11,103.4,107.5,70.1,-0.026,-2.58,103,105.6,-0.19,2018,
Appalachian St,SB,11-21,-3.53,106.2,109.7,71.6,-0.083,1.03,105.3,104.3,5.33,2019,
Appalachian St,SB,18-15,-0.27,99.9,100.2,67.2,0.041,0.64,103.1,102.4,1.61,2020,
Appalachian St,SB,17-12,-4.71,98.4,103.1,65.5,0.039,-2.83,100.4,103.3,5.52,2021,16
Appalachian St,SB,19-15,0.26,101,100.8,64.5,0.015,-1.01,102.6,103.6,7.01,2022,
Appalachian St,SB,16-16,-0.76,101.2,101.9,64.8,-0.035,-0.94,104.3,105.3,-0.88,2023,
Appalachian St,SB,27-6,10.14,108.3,98.1,66.7,0.022,-1.68,106.2,107.9,0.52,2024,
Arizona,P10,28-4,26.8,115.6,88.8,72.7,-0.007,8.69,107.2,98.5,8.19,2003,1
Arizona,P10,20-10,16.18,118.5,102.3,73,-0.072,5.72,106.7,101,4.6,2004,9
Arizona,P10,30-7,22.22,116.7,94.5,68.6,0.027,8.12,107.8,99.7,3.33,2005,3
Arizona,P10,20-13,17.23,112.2,95,67.7,-0.037,10.53,108,97.5,9.27,2006,8
Arizona,P10,20-11,19.43,119.5,100.1,68.3,-0.009,12.2,110.4,98.2,10.23,2007,8
Arizona,P10,19-15,19.14,116.4,97.3,63.5,-0.079,12.72,110.3,97.6,8.75,2008,10
Arizona,P10,21-14,15.96,117.7,101.8,64.9,0.018,11.33,109,97.7,2.34,2009,12
Arizona,P10,16-15,8.83,108.4,99.5,67.6,0.027,8.32,107.1,98.8,6.93,2010,
Arizona,P10,30-8,19.65,117.4,97.8,65.3,0.064,7.69,107.7,100,-0.36,2011,5
Arizona,P12,23-12,12.77,107.6,94.9,64.3,-0.051,3.71,105.2,101.5,1.3,2012,1
Arizona,P12,27-8,21.88,115.4,93.5,65.5,-0.012,7.99,106.4,98.5,1.45,2013,6
Arizona,P12,33-5,30.11,116.5,86.4,62.8,0.014,9.3,109.9,100.6,1.62,2014,1
Arizona,P12,34-4,32.36,119.9,87.5,65.8,-0.033,7.37,108.3,100.9,0.09,2015,2
Arizona,P12,25-9,20.97,116.8,95.8,68.3,-0.038,6.66,107.9,101.3,-3.66,2016,6
Arizona,P12,32-5,23.31,118.4,95.1,66,0.046,7.13,108.7,101.5,1.69,2017,2
Arizona,P12,27-8,17.7,118,100.4,67.1,0.036,5.96,108.5,102.5,2.51,2018,4
Arizona,P12,17-15,7.35,105.5,98.2,66.7,-0.013,5.62,107.8,102.2,3.27,2019,
Arizona,P12,17-9,19.92,115.6,95.7,67.7,-0.017,13.38,109.3,95.9,-4.01,2021,
Arizona,P12,33-4,25.96,118.6,92.6,72.2,0.048,6.45,105.9,99.5,-0.78,2022,1
Arizona,P12,28-7,21.9,118.2,96.3,72,0.027,8.32,107.5,99.2,3.12,2023,2
Arizona,P12,25-8,26.62,121.1,94.5,71.8,-0.043,10.79,111.9,101.1,10.43,2024,2
Arizona 7*,P12,21-11,19.6,111,91.4,69.3,-0.077,7.72,106.5,98.8,2.41,2020,
Arizona St,P10,20-12,16.49,113.9,97.4,66.9,-0.014,8.74,106.4,97.7,5.43,2003,10
Arizona St,P10,10-17,1.29,107.6,106.3,68.5,-0.049,4.44,106.4,102,-2.29,2004,
Arizona St,P10,18-14,10.32,111.1,100.8,68.6,-0.05,5.16,105.6,100.5,-4.68,2005,
Arizona St,P10,11-17,2.26,104.8,102.6,64.8,-0.027,5.53,105.1,99.6,-6.99,2006,
Arizona St,P10,8-22,1.83,101.3,99.5,58.5,-0.091,7.9,108.8,100.9,-6.05,2007,
Arizona St,P10,21-13,13.62,110.2,96.6,61.2,0.01,6.79,107.4,100.6,-9.79,2008,1
Arizona St,P10,25-10,23.03,118.2,95.2,59.1,-0.018,10.14,108.9,98.8,-2.04,2009,6
Arizona St,P10,22-11,15.18,110,94.8,61,-0.013,4.11,104.1,100,-3.16,2010,1
Arizona St,P10,12-19,2.68,104,101.3,62.6,-0.008,7.28,107.2,99.9,1.2,2011,
Arizona St,P12,10-21,-5.55,100.6,106.1,62.5,0.006,2.84,103.7,100.8,-3.67,2012,
Arizona St,P12,22-13,10.5,108.3,97.8,64.8,-0.014,3.91,104.8,100.9,-11.29,2013,3
Arizona St,P12,21-12,14.82,111.2,96.4,67.4,0.003,7.5,108.6,101.1,-2.6,2014,10
Arizona St,P12,18-16,11.13,109.8,98.7,65.8,-0.035,6.57,106.7,100.2,-2.47,2015,5
Arizona St,P12,15-17,8.38,109.6,101.2,67.9,-0.015,9.11,109.9,100.8,4.11,2016,
Arizona St,P12,15-18,2.81,111.9,109.1,70,0.035,6.49,108.6,102.1,-1.06,2017,
Arizona St,P12,20-12,14.13,116.7,102.6,71.3,-0.083,5.48,107.4,101.9,0.94,2018,11
Arizona St,P12,23-11,11.55,109.7,98.2,70.8,0.051,5.56,107.3,101.7,1.55,2019,11
Arizona St,P12,11-14,9.85,108.4,98.5,72.5,0.026,16.04,110.9,94.9,9.16,2021,
Arizona St,P12,14-17,7.94,101.2,93.2,67.3,0.005,9.71,107.4,97.7,8.35,2022,
